S. No,Name,Value,Unit Price,Qty,Total,Link,Remarks
1,ADS1293,-,$12.00,1,12,https://www.lcsc.com/product-detail/C181260.html?s_z=n_q_ads1293&spm=wm.ssy.bg.0.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNdX1NTQlNfXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D,-
2,Crystal 4.096 HZ,4.096 Hz,$0.01,5,0.05,https://www.lcsc.com/product-detail/C2842312.html?s_z=n_q_HC-49S&spm=wm.ssy.bg.0.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNdXlRURlBaUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSTldADxALGw%3D%3D,Minimum 5 qty have to be ordered.
3,Resistors 0603 SMD,100K Ohms,$0.14,1,0.14,https://www.lcsc.com/product-detail/C70047.html?s_z=n_q_Resistor%2520SMD%25200603&spm=wm.ssy.bg.8.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNdXlVQQlFdUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
4,Resistor 0603 SMD,1M Ohms,$0.16,1,0.16,https://www.lcsc.com/product-detail/C105578.html?s_z=n_q_Resistor%2520SMD%25200603%25201M%2520ohms&spm=wm.ssy.bg.0.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNaV1dXQFRYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
5,Resistor 0603 SMD,10K Ohms,$0.15,1,0.15,https://www.lcsc.com/product-detail/C105578.html?s_z=n_q_Resistor%2520SMD%25200603%25201M%2520ohms&spm=wm.ssy.bg.0.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNaV1dXQFRYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
6,Resistor 0603 SMD,220 Ohms,$0.10,1,0.1,Local Shop,
7,LED Green,,$0.73,1,0.73,https://www.lcsc.com/product-detail/C2994781.html?s_z=n_q_LED%2520Green%25200603&spm=wm.ssy.bg.0.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNaV1xRR1RaUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
8,Capacitors SMD,1uF,$0.32,1,0.32,https://www.lcsc.com/product-detail/C29936.html?s_z=n_q_Capacitor%25200603%25201uF&spm=wm.ssy.bg.0.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNaVlVWTlNcUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
9,Capacitors SMD,1.5nF,$0.28,1,0.28,https://www.lcsc.com/product-detail/C96090.html?s_z=n_q_Capacitor%25200603%25201500%2520pF&spm=wm.ssy.bg.0.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNaVldSQVBdXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
10,Capacitors SMD,22pF,$0.36,1,0.36,https://www.lcsc.com/product-detail/C1653.html?s_z=n_q_Capacitor%25200603%252022pF&spm=wm.ssy.bg.0.xh&lcsc_vid=QVJcX1AAE1RXUlIEFFcMXgUCTldfUAFeQAIKVQFXQ1kxVlNRQFNaVlFSRVFcVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
