"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1uF","","","","C0603C220J5GACTU:CAPC1608X87N",""
"C2","1","1uF","","","","C0603C223J5RACTU:CAPC1608X87N",""
"C3","1","10uF","","","","C0603C220J5GACTU:CAPC1608X87N",""
"D1","1","LED","","","","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"J1","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J2","1","GPIO","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"R1","1","220 Ohms","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"S1,S2,S3","3","TS02-66-55-BK-100-LCR-D","","","","TS02_66_55_BK_100_LCR_D:SW_TS02-66-55-BK-100-LCR-D",""
"U1","1","NRF24L01_Breakout","","","","RF_Module:nRF24L01_Breakout","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf"
"U2","1","DEV-15583","","","","DEV-15583:MODULE_DEV-15583",""
"U3","1","DM-OLED096-636","","","","DM-OLED096-636:MODULE_DM-OLED096-636",""
"U4","1","TLV1117LV33DCYR","","","","TLV1117LV33DCYR:VREG_TLV1117LV33DCYR",""
